date,team,resource_category,resource_name,cost,utilization,is_weekend,month,quarter
2024-01-01,Finance,Compute,Analytics-Engine,341.03,65,False,1,Q1
2024-01-01,Finance,Storage,AuditLogStorage,129.37,78,False,1,Q1
2024-01-01,Finance,Database,ReportingDB,214.57,62,False,1,Q1
2024-01-01,HR,Compute,OrderProcessing-Service,200.11,75,False,1,Q1
2024-01-01,HR,Storage,DataLakeStorage,57.87,68,False,1,Q1
2024-01-01,HR,Database,CustomerDB,100.02,59,False,1,Q1
2024-01-01,MAC1,Compute,Analytics-Engine,501.52,50,False,1,Q1
2024-01-01,MAC1,Storage,DocumentArchive,164.93,55,False,1,Q1
2024-01-01,MAC1,Database,ReportingDB,276.3,64,False,1,Q1
2024-01-01,MAC2,Compute,Integration-Gateway,392.89,51,False,1,Q1
2024-01-01,MAC2,Storage,DocumentArchive,177.12,67,False,1,Q1
2024-01-01,MAC2,Database,CustomerDB,261.07,53,False,1,Q1
2024-01-01,MAC3,Compute,OrderProcessing-Service,575.14,64,False,1,Q1
2024-01-01,MAC3,Storage,BackupStorageAccount,210.94,64,False,1,Q1
2024-01-01,MAC3,Database,EmployeeDB,338.26,60,False,1,Q1
2024-01-01,MAC4,Compute,Notification-Service,260.18,78,False,1,Q1
2024-01-01,MAC4,Storage,DataLakeStorage,95.56,56,False,1,Q1
2024-01-01,MAC4,Database,InventoryDB,174.79,57,False,1,Q1
2024-01-01,MAC5,Compute,Analytics-Engine,778.12,49,False,1,Q1
2024-01-01,MAC5,Storage,AuditLogStorage,1646.22,96,False,1,Q1
2024-01-01,MAC5,Database,InventoryDB,463.17,68,False,1,Q1
2024-01-01,MAC6,Compute,Integration-Gateway,528.07,62,False,1,Q1
2024-01-01,MAC6,Storage,AuditLogStorage,180.75,55,False,1,Q1
2024-01-01,MAC6,Database,FinanceDB,329.08,72,False,1,Q1
2024-01-02,Finance,Compute,Analytics-Engine,337.09,51,False,1,Q1
2024-01-02,Finance,Storage,AuditLogStorage,126.22,62,False,1,Q1
2024-01-02,Finance,Database,ReportingDB,206.87,67,False,1,Q1
2024-01-02,HR,Compute,OrderProcessing-Service,192.34,75,False,1,Q1
2024-01-02,HR,Storage,DataLakeStorage,56.1,60,False,1,Q1
2024-01-02,HR,Database,CustomerDB,106.63,73,False,1,Q1
2024-01-02,MAC1,Compute,Analytics-Engine,473.29,62,False,1,Q1
2024-01-02,MAC1,Storage,DocumentArchive,174.45,52,False,1,Q1
2024-01-02,MAC1,Database,ReportingDB,320.31,78,False,1,Q1
2024-01-02,MAC2,Compute,Integration-Gateway,421.39,72,False,1,Q1
2024-01-02,MAC2,Storage,DocumentArchive,163.18,60,False,1,Q1
2024-01-02,MAC2,Database,CustomerDB,267.28,78,False,1,Q1
2024-01-02,MAC3,Compute,OrderProcessing-Service,599.91,77,False,1,Q1
2024-01-02,MAC3,Storage,BackupStorageAccount,183.73,64,False,1,Q1
