date,team,resource_category,quarter,total_cost,avg_utilization,running_total_cost
2024-01-01,MAC6,Database,Q1,329.08,72.0,329.08
2024-01-02,MAC6,Database,Q1,331.04,52.0,660.12
2024-01-03,MAC6,Database,Q1,297.88,61.0,958.0
2024-01-04,MAC6,Database,Q1,329.72,70.0,1287.72
2024-01-05,MAC6,Database,Q1,307.72,69.0,1595.44
2024-01-06,MAC6,Database,Q1,243.33,69.0,1838.77
2024-01-07,MAC6,Database,Q1,250.85,66.0,2089.62
2024-01-08,MAC6,Database,Q1,284.13,54.0,2373.75
2024-01-09,MAC6,Database,Q1,309.97,45.0,2683.7200000000003
2024-01-10,MAC6,Database,Q1,426.82,82.0,3110.5400000000004
2024-01-11,MAC6,Database,Q1,297.96,60.0,3408.5000000000005
2024-01-12,MAC6,Database,Q1,347.12,49.0,3755.6200000000003
2024-01-13,MAC6,Database,Q1,283.93,81.0,4039.55
2024-01-14,MAC6,Database,Q1,256.36,51.0,4295.91
2024-01-15,MAC6,Database,Q1,332.94,63.0,4628.849999999999
2024-01-16,MAC6,Database,Q1,342.05,79.0,4970.9
2024-01-17,MAC6,Database,Q1,371.42,56.0,5342.32
2024-01-18,MAC6,Database,Q1,385.67,83.0,5727.99
2024-01-19,MAC6,Database,Q1,318.08,65.0,6046.07
2024-01-20,MAC6,Database,Q1,258.49,70.0,6304.5599999999995
2024-01-21,MAC6,Database,Q1,250.28,72.0,6554.839999999999
2024-01-22,MAC6,Database,Q1,328.42,58.0,6883.259999999999
2024-01-23,MAC6,Database,Q1,401.05,69.0,7284.3099999999995
2024-01-24,MAC6,Database,Q1,316.46,44.0,7600.7699999999995
2024-01-25,MAC6,Database,Q1,349.97,76.0,7950.74
2024-01-26,MAC6,Database,Q1,327.6,58.0,8278.34
2024-01-27,MAC6,Database,Q1,249.3,64.0,8527.64
2024-01-28,MAC6,Database,Q1,242.16,75.0,8769.8
2024-01-29,MAC6,Database,Q1,356.84,60.0,9126.64
2024-01-30,MAC6,Database,Q1,357.79,72.0,9484.43
2024-01-31,MAC6,Database,Q1,305.28,46.0,9789.710000000001
2024-02-01,MAC6,Database,Q1,343.73,50.0,10133.439999999999
2024-02-02,MAC6,Database,Q1,311.71,62.0,10445.149999999998
2024-02-03,MAC6,Database,Q1,267.18,59.0,10712.329999999998
2024-02-04,MAC6,Database,Q1,262.39,64.0,10974.719999999998
2024-02-05,MAC6,Database,Q1,342.09,69.0,11316.809999999998
2024-02-06,MAC6,Database,Q1,336.28,52.0,11653.089999999998
2024-02-07,MAC6,Database,Q1,351.17,59.0,12004.259999999998
2024-02-08,MAC6,Database,Q1,326.06,60.0,12330.319999999998
2024-02-09,MAC6,Database,Q1,335.33,60.0,12665.649999999998
2024-02-10,MAC6,Database,Q1,253.61,63.0,12919.259999999998
2024-02-11,MAC6,Database,Q1,259.58,65.0,13178.839999999998
2024-02-12,MAC6,Database,Q1,369.26,65.0,13548.099999999999
2024-02-13,MAC6,Database,Q1,342.58,62.0,13890.679999999998
2024-02-14,MAC6,Database,Q1,394.99,73.0,14285.669999999998
2024-02-15,MAC6,Database,Q1,400.9,72.0,14686.569999999998
2024-02-16,MAC6,Database,Q1,306.41,64.0,14992.979999999998
2024-02-17,MAC6,Database,Q1,250.22,65.0,15243.199999999997
2024-02-18,MAC6,Database,Q1,264.55,72.0,15507.749999999996
2024-02-19,MAC6,Database,Q1,364.68,66.0,15872.429999999997
2024-02-20,MAC6,Database,Q1,367.27,63.0,16239.699999999997
2024-02-21,MAC6,Database,Q1,322.84,67.0,16562.539999999997
2024-02-22,MAC6,Database,Q1,352.78,61.0,16915.319999999996
2024-02-23,MAC6,Database,Q1,374.92,64.0,17290.239999999994
2024-02-24,MAC6,Database,Q1,237.26,65.0,17527.499999999993
2024-02-25,MAC6,Database,Q1,253.49,54.0,17780.989999999994
2024-02-26,MAC6,Database,Q1,416.51,66.0,18197.499999999993
2024-02-27,MAC6,Database,Q1,324.88,53.0,18522.379999999994
2024-02-28,MAC6,Database,Q1,310.56,52.0,18832.939999999995
2024-02-29,MAC6,Database,Q1,368.07,64.0,19201.009999999995
2024-03-01,MAC6,Database,Q1,358.51,66.0,19559.519999999993
2024-03-02,MAC6,Database,Q1,294.34,68.0,19853.859999999993
2024-03-03,MAC6,Database,Q1,250.63,73.0,20104.489999999994
2024-03-04,MAC6,Database,Q1,342.51,75.0,20447.0
2024-03-05,MAC6,Database,Q1,413.31,81.0,20860.31
2024-03-06,MAC6,Database,Q1,369.52,65.0,21229.83
2024-03-07,MAC6,Database,Q1,403.97,81.0,21633.800000000003
2024-03-08,MAC6,Database,Q1,336.3,71.0,21970.100000000002
2024-03-09,MAC6,Database,Q1,248.85,65.0,22218.95
